                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.324,                 7.4031,                0.24141,                0.99749,                 1.1863,                0.81223,                0.70531,                0.80015,                0.51463,                0.56313,                0.25157,                0.21198,                 0.0678,                 1.1654,                 6.3888,                0.03568,                0.75083,                 1.0879,              0.0089275,              0.0089275,              0.0089275
                     67,                 1.3241,                 7.4148,                0.24372,                0.99703,                 1.1885,                0.81111,                0.70593,                0.80037,                0.51487,                0.56413,                0.25126,                0.21224,                0.06778,                 1.1654,                 6.3864,                0.03577,                0.75044,                 1.0877,               0.008911,               0.008911,               0.008911
                     68,                 1.3199,                 7.4034,                0.24358,                0.99544,                 1.1853,                0.81192,                0.70473,                0.80016,                0.51521,                0.56441,                0.25066,                0.21132,                0.06788,                 1.1652,                 6.3833,                0.03574,                0.75017,                 1.0875,              0.0088945,              0.0088945,              0.0088945
                     69,                 1.3246,                 7.4147,                 0.2421,                0.99558,                 1.1878,                0.81534,                0.70233,                0.80054,                 0.5152,                0.56904,                0.25098,                0.21282,                0.06799,                 1.1645,                 6.3817,                0.03569,                0.74968,                 1.0869,               0.008878,               0.008878,               0.008878
                     70,                 1.3232,                  7.405,                0.24243,                0.99235,                 1.1863,                0.81376,                0.70454,                0.80105,                0.51521,                0.56731,                0.25113,                 0.2131,                0.06819,                 1.1641,                 6.3809,                0.03543,                0.74986,                 1.0863,              0.0088615,              0.0088615,              0.0088615
                     71,                 1.3209,                 7.4001,                0.24218,                0.99456,                  1.187,                0.81387,                0.70292,                0.80093,                 0.5152,                0.56783,                0.25142,                0.21346,                0.06831,                 1.1635,                 6.3783,                0.03526,                 0.7498,                 1.0857,               0.008845,               0.008845,               0.008845
                     72,                 1.3198,                 7.4017,                0.24333,                0.99229,                 1.1853,                0.81322,                0.70252,                0.80015,                0.51523,                0.56752,                0.25288,                0.21397,                0.06858,                 1.1629,                  6.378,                0.03528,                0.74995,                 1.0855,              0.0088285,              0.0088285,              0.0088285
                     73,                  1.323,                 7.3918,                0.24176,                0.99358,                  1.186,                0.81214,                0.70445,                0.80125,                0.51575,                0.56941,                 0.2525,                0.21448,                0.06871,                 1.1627,                 6.3757,                0.03539,                0.74982,                 1.0852,               0.008812,               0.008812,               0.008812
                     74,                 1.3214,                 7.4027,                0.24224,                0.99625,                 1.1856,                 0.8111,                0.70378,                 0.8016,                0.51594,                0.57104,                 0.2524,                0.21459,                0.06877,                 1.1622,                 6.3739,                0.03558,                0.74969,                 1.0848,              0.0087955,              0.0087955,              0.0087955
                     75,                 1.3233,                 7.3996,                0.24276,                0.99569,                 1.1874,                0.81157,                0.70407,                0.80117,                0.51595,                0.56938,                0.25221,                0.21458,                0.06876,                 1.1623,                  6.372,                0.03541,                0.74986,                 1.0845,               0.008779,               0.008779,               0.008779
                     76,                 1.3217,                 7.4004,                0.24255,                0.99245,                 1.1863,                0.81058,                 0.7047,                0.80175,                0.51549,                  0.564,                0.25298,                 0.2142,                0.06857,                 1.1624,                 6.3714,                0.03525,                0.74979,                 1.0849,              0.0087625,              0.0087625,              0.0087625
                     77,                 1.3214,                 7.3966,                  0.241,                0.99227,                 1.1863,                0.80893,                0.70406,                0.80119,                0.51543,                0.56672,                0.25355,                0.21467,                0.06862,                 1.1628,                  6.371,                0.03538,                0.74988,                 1.0848,               0.008746,               0.008746,               0.008746
                     78,                 1.3213,                 7.3956,                0.24277,                0.99703,                 1.1889,                0.81107,                0.70445,                0.80154,                0.51541,                0.56372,                 0.2529,                0.21398,                0.06868,                  1.163,                 6.3695,                0.03541,                0.74956,                 1.0852,              0.0087295,              0.0087295,              0.0087295
                     79,                  1.319,                 7.3792,                0.24173,                0.98948,                 1.1859,                0.81227,                0.70464,                0.80201,                0.51503,                0.56523,                0.25412,                0.21568,                0.06904,                 1.1638,                 6.3695,                0.03533,                0.75016,                 1.0858,               0.008713,               0.008713,               0.008713
                     80,                 1.3192,                 7.3804,                0.24111,                 0.9925,                 1.1855,                 0.8124,                0.70607,                0.80155,                0.51477,                0.57019,                0.25431,                0.21585,                 0.0694,                 1.1644,                 6.3669,                0.03537,                0.74964,                 1.0863,              0.0086965,              0.0086965,              0.0086965
                     81,                 1.3193,                 7.3867,                0.24173,                0.99256,                 1.1857,                0.81159,                0.70528,                0.80165,                0.51498,                0.57425,                0.25393,                0.21648,                0.06946,                 1.1647,                 6.3643,                0.03544,                0.74929,                 1.0869,                0.00868,                0.00868,                0.00868
                     82,                   1.32,                 7.3889,                0.24231,                0.99262,                 1.1862,                0.81462,                0.70531,                0.80208,                0.51548,                 0.5738,                0.25526,                0.21693,                0.06961,                 1.1649,                 6.3635,                0.03543,                0.74908,                 1.0872,              0.0086635,              0.0086635,              0.0086635
                     83,                 1.3174,                 7.3828,                0.24194,                0.99291,                 1.1852,                0.81712,                 0.7035,                0.80235,                0.51526,                0.57439,                0.25536,                0.21655,                0.06954,                 1.1653,                 6.3617,                0.03528,                  0.749,                 1.0875,               0.008647,               0.008647,               0.008647
                     84,                 1.3211,                 7.3842,                0.24071,                0.99154,                 1.1846,                0.81571,                0.70618,                0.80272,                0.51586,                0.57111,                0.25564,                0.21654,                0.06969,                 1.1652,                 6.3604,                0.03529,                0.74868,                 1.0874,              0.0086305,              0.0086305,              0.0086305
                     85,                   1.32,                 7.3769,                0.24071,                0.99355,                 1.1848,                0.81468,                0.70559,                 0.8024,                0.51613,                0.56587,                0.25602,                 0.2169,                0.06989,                 1.1652,                 6.3574,                0.03527,                 0.7483,                 1.0873,               0.008614,               0.008614,               0.008614
